"Admin1","Admin2","setting","sub"
"Alibori","Banikoara","alibori","banikoara"
"Alibori","Gogounou","alibori","gogounou"
"Alibori","Kandi","alibori","kandi"
"Alibori","Karimama","alibori","karimama"
"Alibori","Malanville","alibori","malanville"
"Alibori","Segbana","alibori","segbana"
"Atacora","Boukoumbe","atacora","boukoumbe"
"Atacora","Kerou","atacora","kerou"
"Atacora","Kobli","atacora","kobli"
"Atacora","Kouande","atacora","kouande"
"Atacora","Materi","atacora","materi"
"Atacora","Natitingou","atacora","natitingou"
"Atacora","Pehonko","atacora","pehonko"
"Atacora","Tanguieta","atacora","tanguieta"
"Atacora","Toukountouna","atacora","toukountouna"
"Atlantique","Abomey-calavi","atlantique","abomey-calavi"
"Atlantique","Allada","atlantique","allada"
"Atlantique","Kpomasse","atlantique","kpomasse"
"Atlantique","Ouidah","atlantique","ouidah"
"Atlantique","So-ava","atlantique","so-ava"
"Atlantique","Toffo","atlantique","toffo"
"Atlantique","Tori-bossito","atlantique","tori-bossito"
"Atlantique","Ze","atlantique","ze"
"Borgou","Bembereke","borgou","bembereke"
"Borgou","Kalale","borgou","kalale"
"Borgou","N'dali","borgou","n'dali"
"Borgou","Nikki","borgou","nikki"
"Borgou","Parakou","borgou","parakou"
"Borgou","Perere","borgou","perere"
"Borgou","Sinende","borgou","sinende"
"Borgou","Tchaourou","borgou","tchaourou"
"Collines","Bante","collines","bante"
"Collines","Dassa","collines","dassa"
"Collines","Glazoue","collines","glazoue"
"Collines","Ouesse","collines","ouesse"
"Collines","Savalou","collines","savalou"
"Collines","Save","collines","save"
"Couffo","Aplahoue","couffo","aplahoue"
"Couffo","Djakotome","couffo","djakotome"
"Couffo","Dogbo","couffo","dogbo"
"Couffo","Klouekanme","couffo","klouekanme"
"Couffo","Lalo","couffo","lalo"
"Couffo","Toviklin","couffo","toviklin"
"Donga","Bassila","donga","bassila"
"Donga","Djougou","donga","djougou"
"Donga","Kopargo","donga","kopargo"
"Donga","Ouake","donga","ouake"
"Littoral","Cotonou","littoral","cotonou"
"Mono","Athieme","mono","athieme"
"Mono","Bopa","mono","bopa"
"Mono","Come","mono","come"
"Mono","Grand-popo","mono","grand-popo"
"Mono","Houeyogbe","mono","houeyogbe"
"Mono","Lokossa","mono","lokossa"
"Oueme","Adjara","oueme","adjara"
"Oueme","Adjohoun","oueme","adjohoun"
"Oueme","Aguegues","oueme","aguegues"
"Oueme","Akpro-misserete","oueme","akpro-misserete"
"Oueme","Avrankou","oueme","avrankou"
"Oueme","Bonou","oueme","bonou"
"Oueme","Dangbo","oueme","dangbo"
"Oueme","Porto-novo","oueme","porto-novo"
"Oueme","Seme","oueme","seme"
"Plateau","Adja-ouere","plateau","adja-ouere"
"Plateau","Ifangni","plateau","ifangni"
"Plateau","Ketou","plateau","ketou"
"Plateau","Pobe","plateau","pobe"
"Plateau","Sakete","plateau","sakete"
"Zou","Abomey","zou","abomey"
"Zou","Agbangnizoun","zou","agbangnizoun"
"Zou","Bohicon","zou","bohicon"
"Zou","Cove","zou","cove"
"Zou","Djidja","zou","djidja"
"Zou","Ouinhi","zou","ouinhi"
"Zou","Za-kpota","zou","za-kpota"
"Zou","Zangnanado","zou","zangnanado"
"Zou","Zogbodome","zou","zogbodome"
