"Admin2","Admin1","setting"
"Boukoumbe","Atacora","atacora.boukoumbe"
"Kobli","Atacora","atacora.kobli"
"Kopargo","Donga","donga.cd"
"Djougou","Donga","donga.cd"
"Gogounou","Alibori","alibori.irs"
"Kandi","Alibori","alibori.irs"
"Kerou","Atacora","atacora.kerou"
"Kouande","Atacora","atacora.koutou"
"Materi","Atacora","atacora.materi"
"Natitingou","Atacora","atacora.natitingou"
"Ouake","Donga","donga.ouake"
"Pehonko","Atacora","atacora.pehonko"
"Segbana","Alibori","alibori.irs"
"Tanguieta","Atacora","atacora.tanguieta"
"Toukountouna","Atacora","atacora.koutou"
"Adjohoun","Oueme","oueme.irs"
"Akpro-misserete","Oueme","oueme.irs"
"Dangbo","Oueme","oueme.irs"
"Seme","Oueme","oueme.irs"
"Karimama","Alibori","alibori.smc"
"Malanville","Alibori","alibori.smc"
